Device_Name,Model_Number,Manufacturer,Indications_for_Use,Contraindications
Infusion Pump,IP-01824,VitalSigns Corp,"Indicated for controlled delivery of intravenous fluids, chemotherapy, antibiotics, analgesics, and other medications requiring precise dosing.",Contraindicated for medications incompatible with the pump tubing material; do not use without appropriate clinical supervision.
Mechanical Ventilator,MV-01825,ImplantTech Ltd,"Indicated for respiratory failure, post-operative ventilatory support, neuromuscular disease, and patients unable to maintain adequate spontaneous ventilation.",Contraindicated in patients with untreated tension pneumothorax; use with caution in severe bullous emphysema.
Automated External Defibrillator,AED-01826,CriticalCare Systems,Indicated for use in cardiac arrest with shockable rhythms including ventricular fibrillation and pulseless ventricular tachycardia.,Do not use on patients with a detectable pulse. Avoid placement over implanted devices or transdermal medication patches.
Blood Glucose Monitor,BGM-01827,PrecisionMed Inc,Indicated for self-monitoring of blood glucose in patients with diabetes mellitus type 1 and type 2 requiring glycaemic management.,Not intended for use in critically ill patients where laboratory measurements are required. Haematocrit extremes may affect accuracy.
Pulse Oximeter,PO-01828,MedTech Solutions,Indicated for continuous or spot-check monitoring of peripheral oxygen saturation and pulse rate in clinical and home settings.,"May be inaccurate in patients with poor peripheral perfusion, carbon monoxide poisoning, severe anaemia, or darkly pigmented skin."
Electrocardiograph,ECG-01829,BioDevice Corp,"Indicated for recording cardiac electrical activity to diagnose arrhythmias, myocardial infarction, conduction abnormalities, and electrolyte disturbances.",No absolute contraindications. Avoid electrode placement over broken skin or wounds. Results may be affected by motion artefact.
Ultrasound Scanner,US-01830,ClinicalPro Ltd,"Indicated for diagnostic imaging of abdominal organs, cardiac structures, vascular anatomy, obstetric assessment, and guided interventional procedures.",No ionising radiation; generally safe in pregnancy. Avoid direct coupling gel contact with open wounds without appropriate barrier.
CT Scanner,CT-01831,HeartCare Systems,"Indicated for detailed cross-sectional imaging of the brain, chest, abdomen, pelvis, and musculoskeletal system for diagnosis and treatment planning.",Contraindicated in pregnancy unless benefits outweigh risks. Contrast agents contraindicated in severe renal impairment or contrast allergy without premedication.
MRI Scanner,MRI-01832,PulmoTech Inc,"Indicated for soft tissue characterisation, neurological imaging, cardiac assessment, and musculoskeletal evaluation without ionising radiation.","Contraindicated in patients with ferromagnetic implants, certain pacemakers, cochlear implants, or claustrophobia without sedation."
Nebuliser,NEB-01833,NeuroCare Devices,"Indicated for delivery of aerosolised medications including bronchodilators, corticosteroids, and mucolytics to patients with respiratory conditions.",Ensure medication compatibility with nebuliser components. Not recommended as sole treatment in severe acute asthma without concurrent therapy.
Syringe Driver,SD-01834,SurgicalPro Ltd,"Indicated for continuous subcutaneous infusion of medications including analgesics, antiemetics, and sedatives in palliative and acute care settings.",Contraindicated for medications with known incompatibilities in the same syringe. Regular site inspection required to prevent subcutaneous reactions.
Defibrillator Monitor,DM-01835,DiagnosticPlus,"Indicated for cardiac rhythm monitoring and emergency defibrillation in intensive care units, emergency departments, and during transport.",Ensure gel pads are not placed over implanted devices. Do not use in flammable anaesthetic environments.
Insulin Pump,INS-01836,VitalSigns Corp,Indicated for continuous subcutaneous insulin infusion in patients with type 1 diabetes or type 2 diabetes requiring intensive insulin therapy.,Contraindicated in patients unable or unwilling to perform frequent blood glucose monitoring. Risk of diabetic ketoacidosis with pump failure.
Endoscope,ENDO-01837,ImplantTech Ltd,"Indicated for diagnostic and therapeutic gastrointestinal procedures including colonoscopy, gastroscopy, and ERCP.","Contraindicated in suspected bowel perforation, patient refusal, or haemodynamic instability precluding safe sedation."
Surgical Robot,SR-01838,CriticalCare Systems,"Indicated for minimally invasive surgical procedures including prostatectomy, hysterectomy, and bariatric surgery requiring precision manipulation.",Contraindicated in patients unable to tolerate general anaesthesia or Trendelenburg positioning. Operator training mandatory.
Phototherapy Unit,PT-01839,PrecisionMed Inc,"Indicated for treatment of neonatal jaundice, psoriasis, atopic eczema, and other photosensitive dermatological conditions.","Contraindicated in patients with porphyria, lupus, or those taking photosensitising medications without medical supervision."
Implantable Cardioverter Defibrillator,ICD-01840,MedTech Solutions,"Indicated for patients with ventricular tachycardia or fibrillation, survivors of sudden cardiac arrest, or those at high risk of life-threatening arrhythmias.","Contraindicated in patients with reversible causes of arrhythmia, active systemic infection, or life expectancy less than one year."
Pacemaker,PM-01841,BioDevice Corp,"Indicated for symptomatic bradycardia, complete heart block, sick sinus syndrome, and other conditions requiring sustained cardiac pacing.",Contraindicated in patients with demand-type devices exposed to strong electromagnetic fields without shielding; not recommended in active sepsis.
Continuous Positive Airway Pressure Device,CPAP-01842,ClinicalPro Ltd,"Indicated for obstructive sleep apnoea, central sleep apnoea, and respiratory insufficiency requiring non-invasive ventilatory support.","Contraindicated in patients with cerebrospinal fluid leaks, recent facial or skull surgery, or severe bullous lung disease."
Haemodialysis Machine,HD-01843,HeartCare Systems,"Indicated for patients with end-stage renal disease, acute kidney injury requiring renal replacement therapy, or severe electrolyte imbalances.",Contraindicated in haemodynamically unstable patients unable to tolerate extracorporeal circulation; relative contraindication in active haemorrhage.
Infusion Pump,IP-01844,PulmoTech Inc,"Indicated for controlled delivery of intravenous fluids, chemotherapy, antibiotics, analgesics, and other medications requiring precise dosing.",Contraindicated for medications incompatible with the pump tubing material; do not use without appropriate clinical supervision.
Mechanical Ventilator,MV-01845,NeuroCare Devices,"Indicated for respiratory failure, post-operative ventilatory support, neuromuscular disease, and patients unable to maintain adequate spontaneous ventilation.",Contraindicated in patients with untreated tension pneumothorax; use with caution in severe bullous emphysema.
Automated External Defibrillator,AED-01846,SurgicalPro Ltd,Indicated for use in cardiac arrest with shockable rhythms including ventricular fibrillation and pulseless ventricular tachycardia.,Do not use on patients with a detectable pulse. Avoid placement over implanted devices or transdermal medication patches.
Blood Glucose Monitor,BGM-01847,DiagnosticPlus,Indicated for self-monitoring of blood glucose in patients with diabetes mellitus type 1 and type 2 requiring glycaemic management.,Not intended for use in critically ill patients where laboratory measurements are required. Haematocrit extremes may affect accuracy.
Pulse Oximeter,PO-01848,VitalSigns Corp,Indicated for continuous or spot-check monitoring of peripheral oxygen saturation and pulse rate in clinical and home settings.,"May be inaccurate in patients with poor peripheral perfusion, carbon monoxide poisoning, severe anaemia, or darkly pigmented skin."
Electrocardiograph,ECG-01849,ImplantTech Ltd,"Indicated for recording cardiac electrical activity to diagnose arrhythmias, myocardial infarction, conduction abnormalities, and electrolyte disturbances.",No absolute contraindications. Avoid electrode placement over broken skin or wounds. Results may be affected by motion artefact.
Ultrasound Scanner,US-01850,CriticalCare Systems,"Indicated for diagnostic imaging of abdominal organs, cardiac structures, vascular anatomy, obstetric assessment, and guided interventional procedures.",No ionising radiation; generally safe in pregnancy. Avoid direct coupling gel contact with open wounds without appropriate barrier.
CT Scanner,CT-01851,PrecisionMed Inc,"Indicated for detailed cross-sectional imaging of the brain, chest, abdomen, pelvis, and musculoskeletal system for diagnosis and treatment planning.",Contraindicated in pregnancy unless benefits outweigh risks. Contrast agents contraindicated in severe renal impairment or contrast allergy without premedication.
MRI Scanner,MRI-01852,MedTech Solutions,"Indicated for soft tissue characterisation, neurological imaging, cardiac assessment, and musculoskeletal evaluation without ionising radiation.","Contraindicated in patients with ferromagnetic implants, certain pacemakers, cochlear implants, or claustrophobia without sedation."
Nebuliser,NEB-01853,BioDevice Corp,"Indicated for delivery of aerosolised medications including bronchodilators, corticosteroids, and mucolytics to patients with respiratory conditions.",Ensure medication compatibility with nebuliser components. Not recommended as sole treatment in severe acute asthma without concurrent therapy.
Syringe Driver,SD-01854,ClinicalPro Ltd,"Indicated for continuous subcutaneous infusion of medications including analgesics, antiemetics, and sedatives in palliative and acute care settings.",Contraindicated for medications with known incompatibilities in the same syringe. Regular site inspection required to prevent subcutaneous reactions.
Defibrillator Monitor,DM-01855,HeartCare Systems,"Indicated for cardiac rhythm monitoring and emergency defibrillation in intensive care units, emergency departments, and during transport.",Ensure gel pads are not placed over implanted devices. Do not use in flammable anaesthetic environments.
Insulin Pump,INS-01856,PulmoTech Inc,Indicated for continuous subcutaneous insulin infusion in patients with type 1 diabetes or type 2 diabetes requiring intensive insulin therapy.,Contraindicated in patients unable or unwilling to perform frequent blood glucose monitoring. Risk of diabetic ketoacidosis with pump failure.
Endoscope,ENDO-01857,NeuroCare Devices,"Indicated for diagnostic and therapeutic gastrointestinal procedures including colonoscopy, gastroscopy, and ERCP.","Contraindicated in suspected bowel perforation, patient refusal, or haemodynamic instability precluding safe sedation."
Surgical Robot,SR-01858,SurgicalPro Ltd,"Indicated for minimally invasive surgical procedures including prostatectomy, hysterectomy, and bariatric surgery requiring precision manipulation.",Contraindicated in patients unable to tolerate general anaesthesia or Trendelenburg positioning. Operator training mandatory.
Phototherapy Unit,PT-01859,DiagnosticPlus,"Indicated for treatment of neonatal jaundice, psoriasis, atopic eczema, and other photosensitive dermatological conditions.","Contraindicated in patients with porphyria, lupus, or those taking photosensitising medications without medical supervision."
Implantable Cardioverter Defibrillator,ICD-01860,VitalSigns Corp,"Indicated for patients with ventricular tachycardia or fibrillation, survivors of sudden cardiac arrest, or those at high risk of life-threatening arrhythmias.","Contraindicated in patients with reversible causes of arrhythmia, active systemic infection, or life expectancy less than one year."
Pacemaker,PM-01861,ImplantTech Ltd,"Indicated for symptomatic bradycardia, complete heart block, sick sinus syndrome, and other conditions requiring sustained cardiac pacing.",Contraindicated in patients with demand-type devices exposed to strong electromagnetic fields without shielding; not recommended in active sepsis.
Continuous Positive Airway Pressure Device,CPAP-01862,CriticalCare Systems,"Indicated for obstructive sleep apnoea, central sleep apnoea, and respiratory insufficiency requiring non-invasive ventilatory support.","Contraindicated in patients with cerebrospinal fluid leaks, recent facial or skull surgery, or severe bullous lung disease."
Haemodialysis Machine,HD-01863,PrecisionMed Inc,"Indicated for patients with end-stage renal disease, acute kidney injury requiring renal replacement therapy, or severe electrolyte imbalances.",Contraindicated in haemodynamically unstable patients unable to tolerate extracorporeal circulation; relative contraindication in active haemorrhage.
Infusion Pump,IP-01864,MedTech Solutions,"Indicated for controlled delivery of intravenous fluids, chemotherapy, antibiotics, analgesics, and other medications requiring precise dosing.",Contraindicated for medications incompatible with the pump tubing material; do not use without appropriate clinical supervision.
Mechanical Ventilator,MV-01865,BioDevice Corp,"Indicated for respiratory failure, post-operative ventilatory support, neuromuscular disease, and patients unable to maintain adequate spontaneous ventilation.",Contraindicated in patients with untreated tension pneumothorax; use with caution in severe bullous emphysema.
Automated External Defibrillator,AED-01866,ClinicalPro Ltd,Indicated for use in cardiac arrest with shockable rhythms including ventricular fibrillation and pulseless ventricular tachycardia.,Do not use on patients with a detectable pulse. Avoid placement over implanted devices or transdermal medication patches.
Blood Glucose Monitor,BGM-01867,HeartCare Systems,Indicated for self-monitoring of blood glucose in patients with diabetes mellitus type 1 and type 2 requiring glycaemic management.,Not intended for use in critically ill patients where laboratory measurements are required. Haematocrit extremes may affect accuracy.
Pulse Oximeter,PO-01868,PulmoTech Inc,Indicated for continuous or spot-check monitoring of peripheral oxygen saturation and pulse rate in clinical and home settings.,"May be inaccurate in patients with poor peripheral perfusion, carbon monoxide poisoning, severe anaemia, or darkly pigmented skin."
Electrocardiograph,ECG-01869,NeuroCare Devices,"Indicated for recording cardiac electrical activity to diagnose arrhythmias, myocardial infarction, conduction abnormalities, and electrolyte disturbances.",No absolute contraindications. Avoid electrode placement over broken skin or wounds. Results may be affected by motion artefact.
Ultrasound Scanner,US-01870,SurgicalPro Ltd,"Indicated for diagnostic imaging of abdominal organs, cardiac structures, vascular anatomy, obstetric assessment, and guided interventional procedures.",No ionising radiation; generally safe in pregnancy. Avoid direct coupling gel contact with open wounds without appropriate barrier.
CT Scanner,CT-01871,DiagnosticPlus,"Indicated for detailed cross-sectional imaging of the brain, chest, abdomen, pelvis, and musculoskeletal system for diagnosis and treatment planning.",Contraindicated in pregnancy unless benefits outweigh risks. Contrast agents contraindicated in severe renal impairment or contrast allergy without premedication.
MRI Scanner,MRI-01872,VitalSigns Corp,"Indicated for soft tissue characterisation, neurological imaging, cardiac assessment, and musculoskeletal evaluation without ionising radiation.","Contraindicated in patients with ferromagnetic implants, certain pacemakers, cochlear implants, or claustrophobia without sedation."
Nebuliser,NEB-01873,ImplantTech Ltd,"Indicated for delivery of aerosolised medications including bronchodilators, corticosteroids, and mucolytics to patients with respiratory conditions.",Ensure medication compatibility with nebuliser components. Not recommended as sole treatment in severe acute asthma without concurrent therapy.
Syringe Driver,SD-01874,CriticalCare Systems,"Indicated for continuous subcutaneous infusion of medications including analgesics, antiemetics, and sedatives in palliative and acute care settings.",Contraindicated for medications with known incompatibilities in the same syringe. Regular site inspection required to prevent subcutaneous reactions.
Defibrillator Monitor,DM-01875,PrecisionMed Inc,"Indicated for cardiac rhythm monitoring and emergency defibrillation in intensive care units, emergency departments, and during transport.",Ensure gel pads are not placed over implanted devices. Do not use in flammable anaesthetic environments.
Insulin Pump,INS-01876,MedTech Solutions,Indicated for continuous subcutaneous insulin infusion in patients with type 1 diabetes or type 2 diabetes requiring intensive insulin therapy.,Contraindicated in patients unable or unwilling to perform frequent blood glucose monitoring. Risk of diabetic ketoacidosis with pump failure.
Endoscope,ENDO-01877,BioDevice Corp,"Indicated for diagnostic and therapeutic gastrointestinal procedures including colonoscopy, gastroscopy, and ERCP.","Contraindicated in suspected bowel perforation, patient refusal, or haemodynamic instability precluding safe sedation."
Surgical Robot,SR-01878,ClinicalPro Ltd,"Indicated for minimally invasive surgical procedures including prostatectomy, hysterectomy, and bariatric surgery requiring precision manipulation.",Contraindicated in patients unable to tolerate general anaesthesia or Trendelenburg positioning. Operator training mandatory.
Phototherapy Unit,PT-01879,HeartCare Systems,"Indicated for treatment of neonatal jaundice, psoriasis, atopic eczema, and other photosensitive dermatological conditions.","Contraindicated in patients with porphyria, lupus, or those taking photosensitising medications without medical supervision."
Implantable Cardioverter Defibrillator,ICD-01880,PulmoTech Inc,"Indicated for patients with ventricular tachycardia or fibrillation, survivors of sudden cardiac arrest, or those at high risk of life-threatening arrhythmias.","Contraindicated in patients with reversible causes of arrhythmia, active systemic infection, or life expectancy less than one year."
Pacemaker,PM-01881,NeuroCare Devices,"Indicated for symptomatic bradycardia, complete heart block, sick sinus syndrome, and other conditions requiring sustained cardiac pacing.",Contraindicated in patients with demand-type devices exposed to strong electromagnetic fields without shielding; not recommended in active sepsis.
Continuous Positive Airway Pressure Device,CPAP-01882,SurgicalPro Ltd,"Indicated for obstructive sleep apnoea, central sleep apnoea, and respiratory insufficiency requiring non-invasive ventilatory support.","Contraindicated in patients with cerebrospinal fluid leaks, recent facial or skull surgery, or severe bullous lung disease."
Haemodialysis Machine,HD-01883,DiagnosticPlus,"Indicated for patients with end-stage renal disease, acute kidney injury requiring renal replacement therapy, or severe electrolyte imbalances.",Contraindicated in haemodynamically unstable patients unable to tolerate extracorporeal circulation; relative contraindication in active haemorrhage.
Infusion Pump,IP-01884,VitalSigns Corp,"Indicated for controlled delivery of intravenous fluids, chemotherapy, antibiotics, analgesics, and other medications requiring precise dosing.",Contraindicated for medications incompatible with the pump tubing material; do not use without appropriate clinical supervision.
Mechanical Ventilator,MV-01885,ImplantTech Ltd,"Indicated for respiratory failure, post-operative ventilatory support, neuromuscular disease, and patients unable to maintain adequate spontaneous ventilation.",Contraindicated in patients with untreated tension pneumothorax; use with caution in severe bullous emphysema.
Automated External Defibrillator,AED-01886,CriticalCare Systems,Indicated for use in cardiac arrest with shockable rhythms including ventricular fibrillation and pulseless ventricular tachycardia.,Do not use on patients with a detectable pulse. Avoid placement over implanted devices or transdermal medication patches.
Blood Glucose Monitor,BGM-01887,PrecisionMed Inc,Indicated for self-monitoring of blood glucose in patients with diabetes mellitus type 1 and type 2 requiring glycaemic management.,Not intended for use in critically ill patients where laboratory measurements are required. Haematocrit extremes may affect accuracy.
Pulse Oximeter,PO-01888,MedTech Solutions,Indicated for continuous or spot-check monitoring of peripheral oxygen saturation and pulse rate in clinical and home settings.,"May be inaccurate in patients with poor peripheral perfusion, carbon monoxide poisoning, severe anaemia, or darkly pigmented skin."
Electrocardiograph,ECG-01889,BioDevice Corp,"Indicated for recording cardiac electrical activity to diagnose arrhythmias, myocardial infarction, conduction abnormalities, and electrolyte disturbances.",No absolute contraindications. Avoid electrode placement over broken skin or wounds. Results may be affected by motion artefact.
Ultrasound Scanner,US-01890,ClinicalPro Ltd,"Indicated for diagnostic imaging of abdominal organs, cardiac structures, vascular anatomy, obstetric assessment, and guided interventional procedures.",No ionising radiation; generally safe in pregnancy. Avoid direct coupling gel contact with open wounds without appropriate barrier.
CT Scanner,CT-01891,HeartCare Systems,"Indicated for detailed cross-sectional imaging of the brain, chest, abdomen, pelvis, and musculoskeletal system for diagnosis and treatment planning.",Contraindicated in pregnancy unless benefits outweigh risks. Contrast agents contraindicated in severe renal impairment or contrast allergy without premedication.
MRI Scanner,MRI-01892,PulmoTech Inc,"Indicated for soft tissue characterisation, neurological imaging, cardiac assessment, and musculoskeletal evaluation without ionising radiation.","Contraindicated in patients with ferromagnetic implants, certain pacemakers, cochlear implants, or claustrophobia without sedation."
Nebuliser,NEB-01893,NeuroCare Devices,"Indicated for delivery of aerosolised medications including bronchodilators, corticosteroids, and mucolytics to patients with respiratory conditions.",Ensure medication compatibility with nebuliser components. Not recommended as sole treatment in severe acute asthma without concurrent therapy.
Syringe Driver,SD-01894,SurgicalPro Ltd,"Indicated for continuous subcutaneous infusion of medications including analgesics, antiemetics, and sedatives in palliative and acute care settings.",Contraindicated for medications with known incompatibilities in the same syringe. Regular site inspection required to prevent subcutaneous reactions.
Defibrillator Monitor,DM-01895,DiagnosticPlus,"Indicated for cardiac rhythm monitoring and emergency defibrillation in intensive care units, emergency departments, and during transport.",Ensure gel pads are not placed over implanted devices. Do not use in flammable anaesthetic environments.
Insulin Pump,INS-01896,VitalSigns Corp,Indicated for continuous subcutaneous insulin infusion in patients with type 1 diabetes or type 2 diabetes requiring intensive insulin therapy.,Contraindicated in patients unable or unwilling to perform frequent blood glucose monitoring. Risk of diabetic ketoacidosis with pump failure.
Endoscope,ENDO-01897,ImplantTech Ltd,"Indicated for diagnostic and therapeutic gastrointestinal procedures including colonoscopy, gastroscopy, and ERCP.","Contraindicated in suspected bowel perforation, patient refusal, or haemodynamic instability precluding safe sedation."
Surgical Robot,SR-01898,CriticalCare Systems,"Indicated for minimally invasive surgical procedures including prostatectomy, hysterectomy, and bariatric surgery requiring precision manipulation.",Contraindicated in patients unable to tolerate general anaesthesia or Trendelenburg positioning. Operator training mandatory.
Phototherapy Unit,PT-01899,PrecisionMed Inc,"Indicated for treatment of neonatal jaundice, psoriasis, atopic eczema, and other photosensitive dermatological conditions.","Contraindicated in patients with porphyria, lupus, or those taking photosensitising medications without medical supervision."
Implantable Cardioverter Defibrillator,ICD-01900,MedTech Solutions,"Indicated for patients with ventricular tachycardia or fibrillation, survivors of sudden cardiac arrest, or those at high risk of life-threatening arrhythmias.","Contraindicated in patients with reversible causes of arrhythmia, active systemic infection, or life expectancy less than one year."
Pacemaker,PM-01901,BioDevice Corp,"Indicated for symptomatic bradycardia, complete heart block, sick sinus syndrome, and other conditions requiring sustained cardiac pacing.",Contraindicated in patients with demand-type devices exposed to strong electromagnetic fields without shielding; not recommended in active sepsis.
Continuous Positive Airway Pressure Device,CPAP-01902,ClinicalPro Ltd,"Indicated for obstructive sleep apnoea, central sleep apnoea, and respiratory insufficiency requiring non-invasive ventilatory support.","Contraindicated in patients with cerebrospinal fluid leaks, recent facial or skull surgery, or severe bullous lung disease."
Haemodialysis Machine,HD-01903,HeartCare Systems,"Indicated for patients with end-stage renal disease, acute kidney injury requiring renal replacement therapy, or severe electrolyte imbalances.",Contraindicated in haemodynamically unstable patients unable to tolerate extracorporeal circulation; relative contraindication in active haemorrhage.
Infusion Pump,IP-01904,PulmoTech Inc,"Indicated for controlled delivery of intravenous fluids, chemotherapy, antibiotics, analgesics, and other medications requiring precise dosing.",Contraindicated for medications incompatible with the pump tubing material; do not use without appropriate clinical supervision.
Mechanical Ventilator,MV-01905,NeuroCare Devices,"Indicated for respiratory failure, post-operative ventilatory support, neuromuscular disease, and patients unable to maintain adequate spontaneous ventilation.",Contraindicated in patients with untreated tension pneumothorax; use with caution in severe bullous emphysema.
Automated External Defibrillator,AED-01906,SurgicalPro Ltd,Indicated for use in cardiac arrest with shockable rhythms including ventricular fibrillation and pulseless ventricular tachycardia.,Do not use on patients with a detectable pulse. Avoid placement over implanted devices or transdermal medication patches.
Blood Glucose Monitor,BGM-01907,DiagnosticPlus,Indicated for self-monitoring of blood glucose in patients with diabetes mellitus type 1 and type 2 requiring glycaemic management.,Not intended for use in critically ill patients where laboratory measurements are required. Haematocrit extremes may affect accuracy.
Pulse Oximeter,PO-01908,VitalSigns Corp,Indicated for continuous or spot-check monitoring of peripheral oxygen saturation and pulse rate in clinical and home settings.,"May be inaccurate in patients with poor peripheral perfusion, carbon monoxide poisoning, severe anaemia, or darkly pigmented skin."
Electrocardiograph,ECG-01909,ImplantTech Ltd,"Indicated for recording cardiac electrical activity to diagnose arrhythmias, myocardial infarction, conduction abnormalities, and electrolyte disturbances.",No absolute contraindications. Avoid electrode placement over broken skin or wounds. Results may be affected by motion artefact.
Ultrasound Scanner,US-01910,CriticalCare Systems,"Indicated for diagnostic imaging of abdominal organs, cardiac structures, vascular anatomy, obstetric assessment, and guided interventional procedures.",No ionising radiation; generally safe in pregnancy. Avoid direct coupling gel contact with open wounds without appropriate barrier.
CT Scanner,CT-01911,PrecisionMed Inc,"Indicated for detailed cross-sectional imaging of the brain, chest, abdomen, pelvis, and musculoskeletal system for diagnosis and treatment planning.",Contraindicated in pregnancy unless benefits outweigh risks. Contrast agents contraindicated in severe renal impairment or contrast allergy without premedication.
MRI Scanner,MRI-01912,MedTech Solutions,"Indicated for soft tissue characterisation, neurological imaging, cardiac assessment, and musculoskeletal evaluation without ionising radiation.","Contraindicated in patients with ferromagnetic implants, certain pacemakers, cochlear implants, or claustrophobia without sedation."
Nebuliser,NEB-01913,BioDevice Corp,"Indicated for delivery of aerosolised medications including bronchodilators, corticosteroids, and mucolytics to patients with respiratory conditions.",Ensure medication compatibility with nebuliser components. Not recommended as sole treatment in severe acute asthma without concurrent therapy.
Syringe Driver,SD-01914,ClinicalPro Ltd,"Indicated for continuous subcutaneous infusion of medications including analgesics, antiemetics, and sedatives in palliative and acute care settings.",Contraindicated for medications with known incompatibilities in the same syringe. Regular site inspection required to prevent subcutaneous reactions.
Defibrillator Monitor,DM-01915,HeartCare Systems,"Indicated for cardiac rhythm monitoring and emergency defibrillation in intensive care units, emergency departments, and during transport.",Ensure gel pads are not placed over implanted devices. Do not use in flammable anaesthetic environments.
Insulin Pump,INS-01916,PulmoTech Inc,Indicated for continuous subcutaneous insulin infusion in patients with type 1 diabetes or type 2 diabetes requiring intensive insulin therapy.,Contraindicated in patients unable or unwilling to perform frequent blood glucose monitoring. Risk of diabetic ketoacidosis with pump failure.
Endoscope,ENDO-01917,NeuroCare Devices,"Indicated for diagnostic and therapeutic gastrointestinal procedures including colonoscopy, gastroscopy, and ERCP.","Contraindicated in suspected bowel perforation, patient refusal, or haemodynamic instability precluding safe sedation."
Surgical Robot,SR-01918,SurgicalPro Ltd,"Indicated for minimally invasive surgical procedures including prostatectomy, hysterectomy, and bariatric surgery requiring precision manipulation.",Contraindicated in patients unable to tolerate general anaesthesia or Trendelenburg positioning. Operator training mandatory.
Phototherapy Unit,PT-01919,DiagnosticPlus,"Indicated for treatment of neonatal jaundice, psoriasis, atopic eczema, and other photosensitive dermatological conditions.","Contraindicated in patients with porphyria, lupus, or those taking photosensitising medications without medical supervision."
Implantable Cardioverter Defibrillator,ICD-01920,VitalSigns Corp,"Indicated for patients with ventricular tachycardia or fibrillation, survivors of sudden cardiac arrest, or those at high risk of life-threatening arrhythmias.","Contraindicated in patients with reversible causes of arrhythmia, active systemic infection, or life expectancy less than one year."
Pacemaker,PM-01921,ImplantTech Ltd,"Indicated for symptomatic bradycardia, complete heart block, sick sinus syndrome, and other conditions requiring sustained cardiac pacing.",Contraindicated in patients with demand-type devices exposed to strong electromagnetic fields without shielding; not recommended in active sepsis.
Continuous Positive Airway Pressure Device,CPAP-01922,CriticalCare Systems,"Indicated for obstructive sleep apnoea, central sleep apnoea, and respiratory insufficiency requiring non-invasive ventilatory support.","Contraindicated in patients with cerebrospinal fluid leaks, recent facial or skull surgery, or severe bullous lung disease."
Haemodialysis Machine,HD-01923,PrecisionMed Inc,"Indicated for patients with end-stage renal disease, acute kidney injury requiring renal replacement therapy, or severe electrolyte imbalances.",Contraindicated in haemodynamically unstable patients unable to tolerate extracorporeal circulation; relative contraindication in active haemorrhage.
Infusion Pump,IP-01924,MedTech Solutions,"Indicated for controlled delivery of intravenous fluids, chemotherapy, antibiotics, analgesics, and other medications requiring precise dosing.",Contraindicated for medications incompatible with the pump tubing material; do not use without appropriate clinical supervision.
Mechanical Ventilator,MV-01925,BioDevice Corp,"Indicated for respiratory failure, post-operative ventilatory support, neuromuscular disease, and patients unable to maintain adequate spontaneous ventilation.",Contraindicated in patients with untreated tension pneumothorax; use with caution in severe bullous emphysema.
Automated External Defibrillator,AED-01926,ClinicalPro Ltd,Indicated for use in cardiac arrest with shockable rhythms including ventricular fibrillation and pulseless ventricular tachycardia.,Do not use on patients with a detectable pulse. Avoid placement over implanted devices or transdermal medication patches.
Blood Glucose Monitor,BGM-01927,HeartCare Systems,Indicated for self-monitoring of blood glucose in patients with diabetes mellitus type 1 and type 2 requiring glycaemic management.,Not intended for use in critically ill patients where laboratory measurements are required. Haematocrit extremes may affect accuracy.
Pulse Oximeter,PO-01928,PulmoTech Inc,Indicated for continuous or spot-check monitoring of peripheral oxygen saturation and pulse rate in clinical and home settings.,"May be inaccurate in patients with poor peripheral perfusion, carbon monoxide poisoning, severe anaemia, or darkly pigmented skin."
Electrocardiograph,ECG-01929,NeuroCare Devices,"Indicated for recording cardiac electrical activity to diagnose arrhythmias, myocardial infarction, conduction abnormalities, and electrolyte disturbances.",No absolute contraindications. Avoid electrode placement over broken skin or wounds. Results may be affected by motion artefact.
Ultrasound Scanner,US-01930,SurgicalPro Ltd,"Indicated for diagnostic imaging of abdominal organs, cardiac structures, vascular anatomy, obstetric assessment, and guided interventional procedures.",No ionising radiation; generally safe in pregnancy. Avoid direct coupling gel contact with open wounds without appropriate barrier.
CT Scanner,CT-01931,DiagnosticPlus,"Indicated for detailed cross-sectional imaging of the brain, chest, abdomen, pelvis, and musculoskeletal system for diagnosis and treatment planning.",Contraindicated in pregnancy unless benefits outweigh risks. Contrast agents contraindicated in severe renal impairment or contrast allergy without premedication.
MRI Scanner,MRI-01932,VitalSigns Corp,"Indicated for soft tissue characterisation, neurological imaging, cardiac assessment, and musculoskeletal evaluation without ionising radiation.","Contraindicated in patients with ferromagnetic implants, certain pacemakers, cochlear implants, or claustrophobia without sedation."
Nebuliser,NEB-01933,ImplantTech Ltd,"Indicated for delivery of aerosolised medications including bronchodilators, corticosteroids, and mucolytics to patients with respiratory conditions.",Ensure medication compatibility with nebuliser components. Not recommended as sole treatment in severe acute asthma without concurrent therapy.
Syringe Driver,SD-01934,CriticalCare Systems,"Indicated for continuous subcutaneous infusion of medications including analgesics, antiemetics, and sedatives in palliative and acute care settings.",Contraindicated for medications with known incompatibilities in the same syringe. Regular site inspection required to prevent subcutaneous reactions.
Defibrillator Monitor,DM-01935,PrecisionMed Inc,"Indicated for cardiac rhythm monitoring and emergency defibrillation in intensive care units, emergency departments, and during transport.",Ensure gel pads are not placed over implanted devices. Do not use in flammable anaesthetic environments.
